Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2008,615,East Melbourne,0,,,,,,,,,,833,,,,,,,,,,838
2008,616,East Melbourne,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20
2008,617,East Melbourne,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,6
2008,618,East Melbourne,,0,0,0,,0,,0,,27,0,0,0,0,0,0,0,,0,,638
2008,619,East Melbourne,0,0,0,12,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,34
2008,620,East Melbourne,0,0,0,0,13,0,,0,0,,769,,0,27,,0,0,,0,0,947
2008,729,Southbank,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,18,,0,0,191
2008,621,East Melbourne,0,16,0,,151,0,298,0,536,24,112,,,261,49,,0,0,0,,1681
2008,642,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,643,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,644,East Melbourne,0,0,0,0,852,0,,0,69,29,115,0,,208,1559,,0,0,,0,3508
2008,645,East Melbourne,0,0,0,,0,0,0,0,0,,786,0,0,0,0,0,0,0,0,0,792
2008,646,East Melbourne,0,,0,103,160,0,21,0,,,122,28,0,14,0,0,0,0,0,,490
2008,649,East Melbourne,0,0,0,,,0,0,0,0,0,0,0,0,,206,0,0,,0,0,216
2008,650,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,651,East Melbourne,,0,0,,,0,0,0,0,,2127,0,0,30,0,0,0,0,0,0,2534
2008,652,East Melbourne,0,0,0,,0,0,,0,0,,0,0,0,0,2653,0,0,0,0,0,2890
2008,653,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,654,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,655,East Melbourne,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,34
2008,656,East Melbourne,,119,0,115,175,,0,0,90,,19,0,,81,,,0,,0,,800
2008,657,East Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2008,658,East Melbourne,0,,0,1391,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,3334
2008,659,Melbourne (Remainder),0,,,2852,,,,,,,,,,,,,,,,,4220
2008,660,Melbourne (Remainder),0,0,0,898,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,2005
2008,661,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,662,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,663,Melbourne (Remainder),0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,16
2008,710,Melbourne (Remainder),,0,0,0,0,0,,0,,61,,0,0,0,0,0,0,,0,0,215
2008,720,Melbourne (Remainder),0,38,0,,790,51,,0,405,15,26,,10,18,0,,0,24,0,122,1573
2008,724,Melbourne (Remainder),0,335,0,,95,0,0,0,742,156,20,,0,,,0,0,17,,,1533
2008,728,Southbank,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,918,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,730,Southbank,,0,0,0,,0,0,0,0,,0,0,,0,0,0,,,,,124
2008,731,Southbank,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2008,732,Southbank,,0,0,0,13,,0,,0,,0,0,,,0,0,,,0,12,76
2008,733,Southbank,0,0,0,,53,0,0,0,0,,0,0,0,0,0,0,0,25,0,0,91
2008,734,Southbank,0,0,0,0,32,0,0,,,0,0,,,12,,,,31,,0,242
2008,735,Southbank,0,,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,94
2008,736,Southbank,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,137
2008,737,Southbank,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,197
2008,738,Southbank,0,0,0,,,0,0,,0,0,0,,,,,0,0,0,0,0,939
2008,739,Southbank,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
2008,740,Southbank,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,173
2008,741,Southbank,0,,0,160,134,0,,,0,28,,,0,,0,0,,,0,0,411
2008,742,Southbank,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4
2008,743,Southbank,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,744,Southbank,0,,0,0,71,,,,,,0,0,0,0,0,,0,0,0,0,122
2008,745,Southbank,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,17
2008,746,Southbank,0,,,,433,0,,,,,,745,354,0,,,0,,0,0,1875
2008,747,Southbank,0,0,0,0,117,,0,0,,0,0,,0,0,0,0,0,0,0,0,207
2008,748,Southbank,,,0,0,965,0,0,,,,0,,0,17,0,26,,,,21,2261
2008,749,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2008,750,Southbank,0,0,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,13
2008,751,Southbank,0,0,0,20,0,0,,0,0,,9,0,0,31,,0,0,0,0,0,205
2008,752,Southbank,0,0,0,1839,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,1970
2008,753,Southbank,,121,,,476,0,0,,65,614,50,1465,,52,545,,0,112,44,,7059
2008,759,Melbourne (Remainder),0,,0,,707,,0,0,395,23,0,80,,15,,,,,0,,1454
2008,760,Melbourne (Remainder),0,166,,,812,34,,0,1368,24,221,111,198,48,32,13,0,10,69,,3134
2008,771,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,772,Docklands,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,,,,105
2008,773,Docklands,0,,,4,16,,0,0,0,31,0,0,0,,0,,0,17,30,0,159
2008,774,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,161
2008,775,Port Melbourne,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,217,484
2008,776,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2008,777,Port Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,53
2008,778,Port Melbourne,0,,,0,58,,0,0,0,0,0,,158,,0,0,,,,201,514
2008,779,Port Melbourne,0,0,0,0,0,,0,,0,0,0,0,376,0,0,0,0,,,0,1127
2008,780,Port Melbourne,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,
2008,781,Port Melbourne,0,25,0,,265,77,,0,9,,,,476,23,0,,0,28,,471,1572
2008,782,Port Melbourne,0,0,0,0,,0,0,,0,0,0,0,144,0,0,0,0,,,,708
2008,783,Docklands,0,,,,,,,,,,,,,,,,,,149,,150
2008,784,Port Melbourne,0,,,0,225,29,0,0,20,,0,135,42,0,,0,0,,135,123,744
2008,785,Port Melbourne,0,,0,0,,21,0,0,,,0,,,0,0,0,0,,85,0,166
2008,786,Port Melbourne,0,0,,1,41,,0,0,,,0,,3236,,,0,0,109,,65,4605
2008,787,Port Melbourne,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,
2008,788,Port Melbourne,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,
2008,789,Port Melbourne,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
2008,790,Port Melbourne,0,199,0,,9,39,,,0,0,0,,484,0,0,0,,,46,222,1071
2008,791,Port Melbourne,0,,0,0,,43,,0,0,0,0,,1756,0,0,0,0,0,34,,1953
2008,792,Port Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,793,Port Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2008,919,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,794,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2008,795,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,867
2008,801,Southbank,,61,821,,623,40,0,0,44,99,0,743,,11,,,0,29,,0,2669
2008,802,Southbank,6,38,,,1334,115,139,,373,237,,0,,3,0,,0,137,,,3204
2008,803,Southbank,,,0,7165,0,0,0,0,0,869,0,,0,,0,0,0,191,0,0,8632
2008,804,Southbank,0,,0,,,0,0,0,,0,0,,0,30,0,0,0,0,0,0,618
2008,806,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,807,Southbank,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2008,808,Southbank,0,,0,,159,0,0,,,36,0,,0,0,0,,0,29,90,,472
2008,809,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,810,Southbank,0,0,0,0,0,0,0,0,0,0,,0,0,,0,80,0,,0,0,457
2008,811,Southbank,0,,0,,0,0,,,0,0,0,0,,0,0,0,0,,0,0,457
2008,812,Southbank,,,,,305,,,0,0,31,,174,,48,0,58,0,,0,,870
2008,813,Southbank,0,0,0,,0,0,,0,0,0,,0,0,,,0,0,0,0,0,337
2008,814,Southbank,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
2008,815,Southbank,0,,0,0,,0,0,0,0,,0,0,0,,0,,0,97,0,0,159
2008,849,South Yarra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,850,Melbourne (Remainder),0,0,0,10,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,10
2008,851,Melbourne (Remainder),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,852,Melbourne (Remainder),0,0,0,271,0,0,0,,0,56,0,0,0,12,0,0,0,,0,0,353
2008,853,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,854,South Yarra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,855,South Yarra,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,247
2008,856,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,857,South Yarra,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2008,858,South Yarra,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,10
2008,859,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,860,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,861,South Yarra,,0,0,0,0,0,34,,0,77,0,0,0,,0,0,0,40,0,0,169
2008,862,South Yarra,,0,0,0,0,0,15,0,0,,,0,0,0,0,0,0,0,0,0,74
2008,863,Melbourne (Remainder),0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
2008,864,South Yarra,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,20
2008,865,South Yarra,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,866,South Yarra,0,,0,,0,0,,,0,,,0,0,,0,0,0,0,0,0,26
2008,867,South Yarra,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,69
2008,868,South Yarra,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,30
2008,869,South Yarra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,870,Melbourne (Remainder),0,0,0,0,777,0,0,0,0,,5592,0,0,,0,0,0,25,0,0,6436
2008,871,Melbourne (Remainder),0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,647
2008,901,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,902,Parkville,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,20
2008,903,Parkville,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,904,Parkville,,0,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,316
2008,905,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
2008,906,Parkville,,,,0,237,,61,0,51,,,,,77,,0,0,0,,0,582
2008,907,Parkville,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,908,Parkville,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,39
2008,909,Parkville,0,0,0,,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,23
2008,910,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,911,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,912,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,913,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,
2008,914,Parkville,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,18
2008,915,Parkville,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,26
2008,916,Parkville,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2008,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,920,Parkville,0,0,0,0,,0,0,0,,97,8386,0,0,8,0,0,0,20,,0,9231
2008,921,Parkville,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,252
2008,922,Parkville,0,0,0,,0,0,0,,0,0,11,0,0,12,0,0,0,0,0,0,23
2008,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,925,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,927,Parkville,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2008,928,Parkville,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2008,929,Parkville,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,
2008,930,Parkville,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,1492
2008,931,Parkville,0,0,0,363,0,0,0,0,0,,0,0,0,,0,0,0,,,0,471
2008,932,Parkville,0,0,0,0,0,0,0,0,0,,4375,0,0,,0,0,0,17,0,0,4483
2008,1001,West Melbourne (Industrial),0,,,,,,,,,,,,,,,,,,622,,626
2008,1002,West Melbourne (Industrial),0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,130
2008,1004,West Melbourne (Industrial),0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,,240,0,253
2008,1005,West Melbourne (Industrial),0,0,0,,0,0,0,,0,,0,0,,,0,0,0,,157,,200
2008,1006,West Melbourne (Industrial),0,,0,,,0,0,,,25,0,,0,,,0,22,0,203,1756,2048
2008,1007,West Melbourne (Industrial),0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,1659,,1713
2008,1009,West Melbourne (Industrial),0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,565,,618
2008,1012,North Melbourne,0,,0,0,,128,0,0,0,0,0,,148,,0,0,,,91,,469
2008,1013,West Melbourne (Industrial),0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,59
2008,1014,West Melbourne (Industrial),0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,94,155
2008,1015,West Melbourne (Industrial),0,0,0,,0,,0,,0,0,0,0,,,0,0,0,30,,27,183
2008,1016,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2008,2392,North Melbourne,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,20,,0,31
2008,1101,Docklands,,19,0,,0,0,0,,0,333,,0,,17,,,0,863,479,0,1864
2008,1102,Docklands,0,,0,0,,0,,0,0,,0,,0,,,0,0,0,,,706
2008,1103,Docklands,,,0,1027,,51,,0,,717,,629,,,0,16,,8,0,0,3068
2008,1104,Docklands,0,,0,,65,,,0,,28,0,0,0,5,0,19,0,16,0,7,152
2008,1105,Docklands,0,0,0,0,,,0,0,,20,0,0,,,,,0,,0,,4136
2008,1106,Docklands,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,1107,Docklands,0,0,0,4,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,42
2008,1108,Docklands,0,,0,8,0,166,,,3637,79,,,,3,0,0,0,128,124,0,5136
2008,1109,Docklands,,42,0,,69,12,0,0,25,425,12,40,12,16,,153,,34,55,7,938
2008,1110,Docklands,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,506
2008,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2008,1112,Docklands,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,22
2008,2381,North Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,35
2008,2382,North Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,33
2008,2383,North Melbourne,0,0,0,0,0,,0,,0,0,0,,,,,0,0,,,,331
2008,2384,North Melbourne,0,,0,0,,,0,0,,0,,0,,,0,0,0,33,,31,168
2008,2385,North Melbourne,0,0,0,,,,,,,0,,,,,0,0,,0,,49,186
2008,2386,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2387,North Melbourne,0,,0,,,,0,0,0,0,0,,,,0,0,0,0,0,44,118
2008,2388,North Melbourne,0,0,0,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,15
2008,2389,North Melbourne,0,,,,,,,,,,19,,,,,,,,,,20
2008,2390,North Melbourne,0,,0,0,28,0,0,,0,0,0,0,69,,0,0,,21,57,42,261
2008,2391,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2008,2501,Kensington,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2008,2502,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,2503,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2507,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2508,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2509,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2510,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2008,2511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2512,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,2513,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2515,Kensington,0,,0,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,25
2008,2516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2520,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,38
2008,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2008,2522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2523,Kensington,,0,0,0,0,0,0,0,0,15,0,0,0,,0,0,0,,0,0,24
2008,2524,Kensington,0,,0,0,0,0,0,0,0,41,,0,,19,0,,0,45,,0,137
2008,2525,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2008,2526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2008,2527,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2008,2528,Kensington,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
2008,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2530,Kensington,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,29
2008,2531,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2008,2532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2008,2533,Kensington,0,,0,0,,,0,0,0,0,0,0,,12,,0,0,,,0,126
2008,2534,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2535,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2537,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2538,Kensington,0,0,0,0,,15,,0,0,0,0,0,,16,0,0,0,,0,,61
2008,2539,Kensington,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
2008,2540,Kensington,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,22
2008,2541,Kensington,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2008,2542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2544,Kensington,0,0,0,,0,0,0,0,0,0,0,0,9,,0,0,0,0,0,0,19
2008,2545,Kensington,0,0,0,0,0,,0,0,0,0,0,0,,12,0,0,0,0,0,0,69
2008,2546,Kensington,0,,,,,,,,,,,,,18,,,,,,,19
2008,2547,Kensington,0,0,0,,308,,0,0,0,0,,0,,,,0,0,0,34,,582
2006,0,City of Melbourne total,8120,12794,3406,23494,53304,3174,21522,3467,51315,23320,29160,26639,15238,9599,34752,2600,857,19221,13079,7708,362769
2006,1,Melbourne (CBD),0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,6
2006,2,Melbourne (CBD),0,,,149,,,,,,,,,,,,,,,,,149
2006,4,Melbourne (CBD),0,0,0,26,0,0,,0,0,65,0,0,0,13,0,0,0,37,741,,898
2006,5,Melbourne (CBD),0,0,0,,,0,0,0,0,0,0,,0,,0,0,0,7,0,0,13
2006,6,Melbourne (CBD),0,,0,264,,,0,0,0,587,0,,0,,,,,20,,0,1428
2006,11,Melbourne (CBD),112,,,0,276,,0,0,,35,,,,58,0,,0,28,,,732
2006,12,Melbourne (CBD),98,1542,0,42,523,,0,238,978,174,0,327,0,28,,,0,21,,0,4401
2006,13,Melbourne (CBD),0,161,88,,354,0,,,219,61,0,67,0,104,,,0,29,,,1905
2006,14,Melbourne (CBD),140,202,191,,386,,377,0,87,281,44,123,,74,51,39,0,59,,0,2102
2006,15,Melbourne (CBD),94,35,,24,102,0,634,0,469,464,87,64,72,159,,0,0,298,0,15,2534
2002,558,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,16,Melbourne (CBD),,115,,260,141,,,0,,108,,,,84,0,,0,80,0,,997
2006,17,Melbourne (CBD),,14,,3,970,,72,0,20,287,0,,,32,,,0,29,0,16,1551
2006,18,Melbourne (CBD),98,49,0,0,1513,,0,0,547,65,0,,,11,1031,,0,,98,,3484
2006,21,Melbourne (CBD),194,0,0,0,60,,0,0,,29,0,,0,,442,0,0,0,,0,2015
2006,22,Melbourne (CBD),,277,,180,1935,45,,70,979,133,0,998,33,56,,193,,26,171,,5381
2006,23,Melbourne (CBD),,58,,,672,,0,0,1252,71,23,85,,60,0,,0,72,51,,2464
2006,24,Melbourne (CBD),0,419,,,1126,0,102,,1765,111,,1340,,39,,321,0,106,26,,5493
2006,25,Melbourne (CBD),49,246,0,5,164,0,171,0,677,175,90,66,39,120,,,0,322,,103,2423
2006,26,Melbourne (CBD),,,,211,1830,0,,,476,95,58,,,27,,0,0,78,0,0,3138
2006,27,Melbourne (CBD),,88,0,0,1610,55,,,1669,186,47,54,16,148,,0,0,133,0,,4594
2006,28,Melbourne (CBD),,167,,,238,,25,0,1367,143,154,2110,24,80,1395,51,0,127,,,6469
2006,31,Melbourne (CBD),,324,0,,76,0,0,0,2331,131,119,192,,79,0,,0,99,,28,3502
2006,32,Melbourne (CBD),,382,27,0,1234,,30,,3312,100,30,534,,33,138,20,0,46,790,,6734
2006,33,Melbourne (CBD),61,342,,,957,,76,,717,188,87,27,,143,92,56,0,67,36,16,2914
2006,34,Melbourne (CBD),0,495,5,0,627,,60,,5339,106,22,66,10,29,30,152,0,189,73,,7237
2006,35,Melbourne (CBD),,158,,7,150,21,15,,47,317,207,51,203,157,,8,0,801,,113,2457
2006,36,Melbourne (CBD),137,15,0,,202,0,,0,,104,25,,0,67,,0,0,108,,0,921
2006,37,Melbourne (CBD),285,95,,0,705,,0,0,1475,51,68,516,168,42,1905,45,,67,36,,5735
2006,38,Melbourne (CBD),,62,0,0,526,39,60,,976,233,387,84,85,169,,,0,38,,,2788
2006,41,Melbourne (CBD),,82,0,,687,0,,0,,57,,,0,15,898,0,0,,,0,1972
2006,42,Melbourne (CBD),0,225,94,,1399,,422,,1286,184,17,641,,59,285,31,0,22,160,8,4969
2006,43,Melbourne (CBD),,530,135,0,2398,208,,0,685,121,0,151,0,176,,43,0,19,,24,5026
2006,44,Melbourne (CBD),,223,0,,585,,,,1766,126,109,77,27,329,,45,0,183,,7,4210
2006,45,Melbourne (CBD),,61,0,,39,0,93,0,17,320,,30,51,103,0,10,0,861,0,,1662
2006,46,Melbourne (CBD),,26,,,35,0,983,,59,277,0,59,0,34,876,,0,211,0,,2578
